               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.032049,            0.053175,            0.010691,             0.79224,             0.73155,             0.79667,             0.43202,            0.042718,            0.077942,            0.019669,              0.0067,              0.0067,              0.0067
                  52,            0.035727,            0.053927,            0.010577,             0.78169,             0.76504,             0.79945,             0.48486,            0.038365,            0.076431,            0.020049,            0.006634,            0.006634,            0.006634
                  53,            0.034064,            0.052771,            0.010064,              0.8064,             0.76372,             0.80469,             0.46182,            0.041104,            0.077744,            0.019413,            0.006568,            0.006568,            0.006568
                  54,            0.032921,             0.05242,            0.010096,             0.80225,             0.72922,             0.78678,             0.46385,            0.040243,            0.079239,            0.019968,            0.006502,            0.006502,            0.006502
                  55,            0.033285,            0.055422,            0.010434,             0.73819,              0.7535,             0.77664,             0.40653,             0.04199,            0.081955,            0.021026,            0.006436,            0.006436,            0.006436
                  56,            0.033955,            0.055263,             0.01075,             0.78634,             0.69045,             0.76557,             0.45908,            0.039197,            0.082031,            0.021656,             0.00637,             0.00637,             0.00637
                  57,            0.031353,            0.052814,           0.0096669,             0.75703,             0.71373,             0.76648,             0.47583,            0.038894,            0.082031,            0.021069,            0.006304,            0.006304,            0.006304
                  58,            0.034626,             0.05566,            0.010479,             0.71323,             0.74222,             0.76668,             0.43121,            0.040633,            0.082504,            0.020759,            0.006238,            0.006238,            0.006238
                  59,            0.032302,            0.054143,           0.0097002,             0.77875,             0.69184,             0.76807,             0.44487,            0.039485,             0.08075,            0.019846,            0.006172,            0.006172,            0.006172
                  60,            0.031258,            0.049427,           0.0087285,             0.79313,              0.7034,             0.76205,             0.46863,             0.03831,            0.086197,            0.020203,            0.006106,            0.006106,            0.006106
                  61,             0.03169,            0.049803,            0.010849,             0.80646,             0.70338,             0.77637,             0.44995,             0.03867,            0.082077,            0.019803,             0.00604,             0.00604,             0.00604
                  62,            0.034007,            0.051416,           0.0092845,             0.78209,             0.73416,             0.76991,             0.45902,            0.039661,            0.084671,            0.019418,            0.005974,            0.005974,            0.005974
                  63,            0.031379,            0.050499,            0.010022,             0.74763,               0.776,             0.78372,             0.45989,            0.039629,             0.09201,            0.019504,            0.005908,            0.005908,            0.005908
                  64,            0.031871,            0.052058,            0.010279,             0.77567,             0.74481,             0.76898,             0.49199,            0.036438,            0.080963,            0.019498,            0.005842,            0.005842,            0.005842
